Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0,Tue Feb 06 05:15:13 +0000 2018,0.0,1.0,0.0,Sex toys mysteriously delivered to Canadian university students https://t.co/OBa2uS4dIl,0,@BBCWorld
-0.4767,Tue Feb 06 04:55:39 +0000 2018,0.43,0.37,0.2,Fundraisers help girl hurt by drunk man https://t.co/QvWy6ytZ17,1,@BBCWorld
0.296,Tue Feb 06 04:51:43 +0000 2018,0.0,0.732,0.268,Asia markets join global stock plunge https://t.co/pvuxAVYhno,2,@BBCWorld
0.5859,Tue Feb 06 04:48:07 +0000 2018,0.0,0.648,0.352,Dinosaurs ‘too successful for their own good’ https://t.co/uPfkCNLUxB,3,@BBCWorld
0.0,Tue Feb 06 03:54:43 +0000 2018,0.0,1.0,0.0,"RT @SallyBundockBBC: A ""white knuckle ride"" for global financial markets. In #BBCtheBriefing we keep you right up to date with expert analy…",4,@BBCWorld
-0.7184,Tue Feb 06 02:52:14 +0000 2018,0.545,0.455,0.0,Seven charged over 'circus school' abuse https://t.co/hFTooTJQ1f,5,@BBCWorld
-0.5574,Tue Feb 06 02:34:36 +0000 2018,0.153,0.847,0.0,"The father of Otto Warmbier, the student who died after being released from a North Korean jail, will attend the Py… https://t.co/7692WMt8ux",6,@BBCWorld
0.4939,Tue Feb 06 02:30:56 +0000 2018,0.0,0.758,0.242,"Winter Olympics: Friendly North Korea 'is fake', says former spy https://t.co/DGC7bfGzSB",7,@BBCWorld
-0.5106,Tue Feb 06 01:56:22 +0000 2018,0.309,0.48,0.21,RT @BBCNewsAsia: Maldives police have arrested the country's chief justice of the Supreme Court as a political crisis worsens in the Indian…,8,@BBCWorld
0.0,Tue Feb 06 01:30:35 +0000 2018,0.0,1.0,0.0,Singapore Airshow: Asia aviation in five charts https://t.co/V2j6ro1o34,9,@BBCWorld
0.25,Tue Feb 06 01:26:06 +0000 2018,0.0,0.75,0.25,The street dancers who dream big https://t.co/NYtIMGxzP1,10,@BBCWorld
-0.6597,Tue Feb 06 01:26:06 +0000 2018,0.386,0.614,0.0,Have they found a cure for our cancer? https://t.co/eJZ60G9Ayg,11,@BBCWorld
0.0,Tue Feb 06 01:26:06 +0000 2018,0.0,1.0,0.0,'I didn't even meet my potential employers' https://t.co/pmhEJycb4c,12,@BBCWorld
-0.2247,Tue Feb 06 00:39:13 +0000 2018,0.083,0.917,0.0,"RT @BBCNorthAmerica: As health experts in the US explore the relationship between music and the brain, one couple deeply affected by dement…",13,@BBCWorld
-0.5574,Tue Feb 06 00:16:49 +0000 2018,0.429,0.357,0.214,Maldives: Supreme Court judges arrested amid political crisis https://t.co/HyZR2ftCdR,14,@BBCWorld
0.0,Tue Feb 06 00:03:59 +0000 2018,0.0,1.0,0.0,John Mahoney: British-born Frasier actor dies aged 77 https://t.co/qbbOuDNyv9,15,@BBCWorld
-0.2263,Mon Feb 05 23:54:06 +0000 2018,0.192,0.808,0.0,Iran's hijab protests: The Girls of Revolution Street https://t.co/yrgjugoZJg,16,@BBCWorld
-0.1548,Mon Feb 05 23:50:03 +0000 2018,0.2,0.621,0.18,"Jay Ruckelshaus broke his neck, almost died, and still can't use his hands.

Then he won one of the world's top sch… https://t.co/fYrQJk8kna",17,@BBCWorld
0.0,Mon Feb 05 23:42:33 +0000 2018,0.0,1.0,0.0,2018 Winter Olympics: Meet figure skater Mirai Nagasu https://t.co/GwtMI4wTvF,18,@BBCWorld
0.0,Mon Feb 05 23:06:17 +0000 2018,0.0,1.0,0.0,Chile's first female pilot Margot Duhalde dies at 97 https://t.co/vG9CavHNp4,19,@BBCWorld
0.296,Mon Feb 05 22:50:08 +0000 2018,0.0,0.885,0.115,Saginaw - a blue-collar city made famous by Paul Simon's song America - surprisingly voted for Donald Trump in 2016… https://t.co/rFqVeUQG0J,20,@BBCWorld
0.0,Mon Feb 05 22:38:29 +0000 2018,0.0,1.0,0.0,Trump's NHS tweet causes a stir https://t.co/iAzkXawtIA,21,@BBCWorld
0.0,Mon Feb 05 22:23:04 +0000 2018,0.0,1.0,0.0,Jacob Zuma: ANC leaders call NEC meeting for Wednesday https://t.co/uWALgqIVPS,22,@BBCWorld
-0.2023,Mon Feb 05 21:20:16 +0000 2018,0.213,0.648,0.139,Pentagon's Defense Logistics Agency loses track of $800m https://t.co/x6qcKXIVaS,23,@BBCWorld
0.0,Mon Feb 05 20:40:40 +0000 2018,0.0,1.0,0.0,RT @BBCPolitics: Why was @realDonaldTrump tweeting about the NHS? https://t.co/zgeCkVstJu,24,@BBCWorld
0.0,Mon Feb 05 20:21:33 +0000 2018,0.0,1.0,0.0,"Dow Jones index is down nearly 1,500 points https://t.co/MS8LEkOchm",25,@BBCWorld
-0.3612,Mon Feb 05 20:11:59 +0000 2018,0.263,0.737,0.0,Moscow struggles with 'snowfall of the century' https://t.co/SURAZanJZd,26,@BBCWorld
0.5719,Mon Feb 05 19:47:53 +0000 2018,0.0,0.837,0.163,Incidents of rioting and looting have taken place in the US city of Philadelphia as fans celebrated a historic Supe… https://t.co/sm08o93TTt,27,@BBCWorld
0.0,Mon Feb 05 19:17:34 +0000 2018,0.0,1.0,0.0,Democrats push Trump to release rebuttal memo https://t.co/dJf8gcxFCK,28,@BBCWorld
-0.7717,Mon Feb 05 18:53:41 +0000 2018,0.427,0.573,0.0,Maldives state of emergency declared by government amid political crisis https://t.co/3en8mZAl16,29,@BBCWorld
0.6113,Mon Feb 05 18:51:39 +0000 2018,0.0,0.862,0.138,"RT @BBCBusiness: Today, the Berlin wall has been down for longer than it was up. Why are people still so fascinated by something that was d…",30,@BBCWorld
